Rank,Player,Gold,Silver,Bronze,S Tier,Earnings
1,zombs,13,5,1,1,"$113,550"
2,ShahZaM,13,4,1,1,"$113,450"
3,dapr,14,3,1,1,"$112,870"
4,SicK,12,3,1,1,"$112,650"
5,cNed,12,4,2,1,"$107,735"
6,starxo,12,4,1,1,"$104,394"
7,Kiles,6,4,2,1,"$104,093"
8,nAts,14,6,0,1,"$103,829"
9,Chronicle,13,6,0,1,"$103,574"
10,d3ffo,12,4,2,1,"$102,773"
11,Sheydos,10,4,0,1,"$102,626"
12,BONECOLD,5,1,1,1,"$101,918"
13,Redgar,9,4,1,1,"$101,115"
14,zeek,13,4,1,1,"$94,754"
15,TenZ,8,4,3,1,"$92,750"
16,ScreaM,15,9,2,0,"$70,399"
17,soulcas,11,5,3,0,"$68,163"
18,L1NK,11,5,2,0,"$68,083"
19,mixwell,17,5,1,0,"$60,855"
20,crashies,3,5,2,0,"$60,250"
21,Victor,3,3,2,0,"$59,250"
22,FNS,6,6,2,0,"$58,120"
23,Marved,1,4,1,0,"$54,950"
24,Jamppi,4,1,0,0,"$53,980"
25,Rb,19,1,0,0,"$51,200"
26,stax,18,1,1,0,"$50,477"
27,AvovA,11,3,2,0,"$48,903"
28,Asuna,2,5,6,0,"$48,570"
29,k1Ng,17,2,0,0,"$48,469"
30,ardiis,18,0,0,0,"$48,424"
31,Boaster,5,5,2,0,"$48,061"
32,Mistic,5,6,2,0,"$47,905"
33,nukkye,6,3,1,0,"$47,557"
34,Derke,1,3,3,0,"$46,685"
35,Hiko,6,4,2,0,"$45,750"
36,yay,4,5,2,0,"$44,600"
37,Doma,5,6,1,0,"$43,977"
38,nitr0,2,3,2,0,"$43,800"
39,Magnum,7,6,2,0,"$42,531"
40,Kryptix,9,5,3,0,"$42,375"
41,NagZ,13,5,2,0,"$41,980"
42,steel,3,3,2,0,"$41,550"
43,koldamenta,2,7,3,0,"$41,514"
44,vanity,5,1,1,0,"$40,700"
45,Lakia,3,3,2,0,"$39,316"
46,Laz,11,5,1,0,"$38,480"
47,delz1k,8,4,0,0,"$38,350"
48,Mazino,7,3,1,0,"$38,200"
48,Klaus,6,3,1,0,"$38,200"
50,mitch,6,5,5,0,"$37,610"
51,Zest,17,0,0,0,"$37,341"
52,xeta,6,5,3,0,"$36,069"
53,ANGE1,11,5,0,0,"$35,806"
54,keznit,7,3,0,0,"$35,800"
55,Ethan,1,3,2,0,"$35,400"
56,Zyppan,8,6,2,0,"$35,335"
57,hazed,13,5,2,0,"$33,985"
58,Davidp,10,6,2,0,"$33,722"
59,Reita,9,3,2,0,"$33,133"
60,leaf,4,2,2,0,"$33,060"
61,pAura,11,6,0,0,"$32,166"
62,Wardell,16,4,2,0,"$31,260"
63,pyth,10,2,1,0,"$31,096"
64,Saadhak,16,1,1,0,"$30,575"
65,sScary,12,5,1,0,"$30,066"
66,SUYGETSU,10,2,1,0,"$29,407"
67,crow,9,3,2,0,"$29,367"
68,Crws,12,2,2,0,"$29,246"
69,sushiboys,11,3,2,0,"$29,231"
70,keloqz,1,2,1,0,"$29,226"
71,foxz,11,2,1,0,"$29,083"
72,paTiTek,11,3,0,0,"$29,046"
73,Subroza,13,4,2,0,"$27,960"
74,takej,8,3,1,0,"$27,796"
75,barce,8,3,2,0,"$27,732"
76,effys,7,4,2,0,"$27,675"
77,Suggest,2,3,1,0,"$27,118"
77,allow,2,3,1,0,"$27,118"
79,peri,2,2,1,0,"$26,891"
80,Sacy,4,1,1,0,"$26,607"
81,Nivera,2,0,0,0,"$26,561"
82,AYRIN,12,6,2,0,"$26,350"
83,BuZz,3,3,0,0,"$26,248"
84,Xeppaa,3,0,1,0,"$26,100"
85,ShadoW,8,7,1,0,"$24,471"
86,drone,12,4,3,0,"$24,060"
87,BcJ,11,4,0,0,"$23,790"
88,frz,7,0,2,0,"$23,777"
89,Munchkin,4,3,1,0,"$23,690"
90,reltuC,12,4,2,0,"$23,310"
91,rite2ace,25,9,6,0,"$23,184"
92,Shao,9,6,0,0,"$21,968"
93,Hellff,14,12,6,0,"$21,584"
94,Meddo,6,10,2,0,"$21,555"
95,neth,6,5,1,0,"$21,440"
95,meL,6,0,0,0,"$21,440"
97,sutecas,3,1,0,0,"$21,397"
98,gtnziN,5,0,0,0,"$21,325"
99,katsumi,5,0,0,0,"$21,300"
99,Jazzyk1ns,5,0,0,0,"$21,300"
101,russ,4,2,0,0,"$21,279"
102,mummAy,8,6,3,0,"$21,275"
103,JessieVash,18,3,0,0,"$21,265"
104,Dispenser,17,3,0,0,"$21,243"
105,BORKUM,16,3,0,0,"$21,213"
106,DubsteP,13,3,0,0,"$21,051"
107,corey,4,3,0,0,"$21,000"
108,Turko,5,10,1,0,"$20,905"
109,penny,4,1,0,0,"$20,657"
110,Nozwerr,13,3,2,0,"$20,035"
111,JhoW,8,2,1,0,"$19,837"
112,Zellsis,3,2,0,0,"$19,735"
113,ZachaREEE,2,3,0,0,"$19,700"
114,Medusa,3,3,1,0,"$19,698"
115,babybay,2,3,0,0,"$19,650"
116,lowel,6,1,0,0,"$19,549"
117,Amaterasu,23,7,4,0,"$19,478"
118,Vibhor,20,7,6,0,"$19,301"
119,ec1s,9,5,2,0,"$19,228"
120,zepher,5,1,1,0,"$19,068"
121,MaKo,4,2,1,0,"$19,003"
122,AsLanM4shadoW,4,2,0,0,"$18,828"
123,xand,5,2,3,0,"$18,762"
124,Patiphan,6,2,2,0,"$18,611"
125,zekken,18,6,2,0,"$18,498"
126,mwzera,8,2,1,0,"$18,463"
127,kaboose,4,4,1,0,"$18,190"
128,Art1st,15,2,1,0,"$18,060"
129,gMd,5,4,3,0,"$18,000"
130,mindfreak,10,4,1,0,"$17,846"
130,f0rsakeN,10,4,2,0,"$17,846"
132,Benkai,9,4,1,0,"$17,779"
132,d4v41,9,4,1,0,"$17,779"
134,witz,6,2,0,0,"$17,768"
135,baddyG,4,2,2,0,"$17,725"
136,zeddy,16,3,2,0,"$17,688"
136,Coffee,16,3,3,0,"$17,688"
138,aimDLL,3,2,1,0,"$17,686"
139,Sayf,1,7,1,0,"$17,616"
140,draken,2,8,1,0,"$17,508"
141,shalaby,14,5,1,0,"$17,505"
142,niesoW,7,2,0,0,"$17,463"
143,dephh,2,3,0,0,"$17,450"
144,alexis,5,0,0,0,"$17,300"
144,Annie,5,0,0,0,"$17,300"
146,PureR,8,5,1,0,"$17,110"
147,SasuKe,6,2,3,0,"$17,017"
147,STERBEN,6,3,3,0,"$17,017"
149,mojj,6,2,3,0,"$16,937"
150,chrollo,13,5,1,0,"$16,905"
151,hugeon,12,1,4,0,"$16,796"
152,KappA,20,10,3,0,"$16,788"
153,bonkar,2,10,4,0,"$16,778"
154,Leo,0,8,1,0,"$16,742"
155,HellrangeR,19,10,3,0,"$16,588"
156,mag0o,6,2,2,0,"$16,375"
157,skillZ,18,7,3,0,"$16,262"
158,SkRossi,18,6,2,0,"$16,153"
159,Jonn,9,4,0,0,"$16,057"
160,fr0st,11,7,1,0,"$16,010"
161,MkaeL,5,3,3,0,"$16,000"
162,Genghsta,2,5,6,0,"$15,990"
163,DEATHMAKER,7,9,4,0,"$15,940"
164,CREA,9,2,2,0,"$15,921"
165,dimasick,3,0,2,0,"$15,912"
166,Lightningfast,17,6,2,0,"$15,891"
167,huynh,6,5,3,0,"$15,820"
168,PTC,11,6,2,0,"$15,819"
169,murizzz,2,3,2,0,"$15,706"
170,Yacine,1,8,4,0,"$15,452"
171,qck,1,4,3,0,"$15,449"
172,valyn,14,13,1,0,"$15,320"
173,Tuna,12,3,0,0,"$14,989"
174,Bazzi,2,4,0,0,"$14,982"
175,kero,3,3,1,0,"$14,954"
176,Khalil,4,2,3,0,"$14,944"
177,jcStani,2,6,4,0,"$14,850"
178,LEGOO,3,3,0,0,"$14,828"
179,JohnOlsen,8,5,3,0,"$14,762"
179,ChAlalala,8,5,3,0,"$14,762"
181,LAMMYSNAX,8,5,2,0,"$14,724"
182,v1xen,7,6,1,0,"$14,528"
183,exy,3,3,0,0,"$14,521"
184,Fearoth,10,3,4,0,"$14,486"
185,TS,2,3,1,0,"$14,312"
186,Wedid,12,4,2,0,"$14,286"
187,Nyang,9,3,0,0,"$14,269"
188,hoody,2,3,2,0,"$14,003"
189,zizox,9,3,2,0,"$13,890"
190,ANDROID,2,4,2,0,"$13,835"
191,YaBoiDre,4,5,4,0,"$13,725"
192,Shanks,8,6,0,0,"$13,655"
193,rhyme,3,4,2,0,"$13,618"
194,dicey,3,3,1,0,"$13,480"
194,aproto,5,2,6,0,"$13,480"
196,AKUMAAAAA,7,4,2,0,"$13,408"
197,Marzil,6,5,2,0,"$13,325"
198,JonahP,6,2,1,0,"$13,295"
199,adverso,12,7,0,0,"$13,135"
200,Tacolilla,12,6,0,0,"$13,057"
201,hoppY,13,3,0,0,"$12,976"
202,XiSTOU,4,6,3,0,"$12,972"
203,moose,3,0,3,0,"$12,932"
204,luckeRRR,5,5,1,0,"$12,841"
205,logaN,12,2,0,0,"$12,820"
206,rodeN,14,4,0,0,"$12,798"
207,thief,4,5,6,0,"$12,780"
208,Melser,9,8,0,0,"$12,713"
209,rion,3,2,1,0,"$12,687"
210,kiNgg,8,7,0,0,"$12,670"
211,eeiu,1,6,2,0,"$12,425"
212,s0m,1,4,1,0,"$12,375"
213,stellar,6,3,5,0,"$12,355"
214,heat,3,2,1,0,"$12,293"
215,blaZek1ng,9,6,2,0,"$12,283"
216,tex,3,3,2,0,"$12,275"
217,Sayaplayer,2,0,0,0,"$12,250"
218,PLAYER1,7,3,2,0,"$12,200"
219,Fit1nho,10,5,1,0,"$12,083"
220,qRaxs,2,2,3,0,"$12,023"
221,neptune,4,6,1,0,"$11,945"
222,TakaS,13,3,1,0,"$11,904"
223,mazin,4,2,1,0,"$11,901"
224,10X,0,3,1,0,"$11,898"
225,fznnn,9,3,1,0,"$11,878"
226,neT,5,3,1,0,"$11,850"
227,toronto,4,7,2,0,"$11,794"
228,Shawn,7,3,1,0,"$11,782"
229,Cryocells,10,2,3,0,"$11,700"
230,Excali,21,12,8,0,"$11,637"
231,Tehbotol,7,5,3,0,"$11,553"
232,BerserX,7,5,2,0,"$11,496"
233,avez,9,4,1,0,"$11,403"
234,chiwawa,3,0,2,0,"$11,360"
235,fl1pzjder,6,4,3,0,"$11,352"
236,KP,12,12,6,0,"$11,325"
237,Antidote,18,9,4,0,"$11,259"
238,supamen,5,3,1,0,"$11,250"
239,Jady,4,2,0,0,"$11,193"
240,trent,3,1,0,0,"$11,170"
241,m1tez,1,9,1,0,"$11,133"
242,bENITA,4,6,2,0,"$11,000"
243,ade,3,5,0,0,"$10,938"
244,Duno,6,7,5,0,"$10,890"
245,Daveeys,9,5,1,0,"$10,862"
246,Brave,2,1,0,0,"$10,844"
247,poised,2,4,1,0,"$10,830"
248,zunba,2,6,1,0,"$10,814"
249,Esperanza,0,3,1,0,"$10,742"
250,ShoT_UP,3,3,2,0,"$10,740"
251,Efina,1,3,0,0,"$10,706"
252,Fisker,2,4,2,0,"$10,669"
253,eKo,5,2,0,0,"$10,659"
254,pANcada,10,1,2,0,"$10,650"
255,Rainy,11,1,2,0,"$10,648"
256,jammyz,6,8,1,0,"$10,620"
257,LEXY,6,7,2,0,"$10,605"
258,Harry,0,3,2,0,"$10,568"
259,HyP,9,6,3,0,"$10,559"
260,thwifo,6,6,2,0,"$10,520"
261,Derrek,8,6,2,0,"$10,415"
262,Cloud,2,7,2,0,"$10,302"
263,SuperBusS,8,4,1,0,"$10,176"
264,Critical,26,9,3,0,"$10,171"
265,Secret,2,4,1,0,"$10,164"
266,Izzy,1,1,0,0,"$10,141"
267,krain,7,5,0,0,"$9,981"
268,Jinggg,5,2,2,0,"$9,866"
269,flowerful,8,3,4,0,"$9,720"
270,HellFull,4,7,2,0,"$9,703"
271,prozin,4,2,1,0,"$9,693"
272,wippie,1,1,0,0,"$9,675"
273,panini,7,3,4,0,"$9,650"
273,Lorri,7,3,4,0,"$9,650"
275,GODLIKE,1,2,1,0,"$9,437"
276,Sp1ke,5,6,1,0,"$9,428"
277,Kongared,12,6,6,0,"$9,380"
277,wannafly,12,6,6,0,"$9,380"
279,Iyo,11,1,2,0,"$9,331"
280,bnj,4,2,1,0,"$9,255"
281,b0i,3,2,2,0,"$9,225"
282,Kant,10,0,2,0,"$9,193"
283,ChoboMe,7,5,2,0,"$9,192"
284,gaabxx,2,1,0,0,"$9,080"
285,asteriskk,7,6,2,0,"$9,033"
286,it not han,5,3,3,0,"$9,020"
287,NLaaeR,8,6,3,0,"$9,006"
288,fra,4,2,1,0,"$8,953"
289,shion,4,2,1,0,"$8,908"
290,insider,7,5,2,0,"$8,895"
291,myssen,3,3,1,0,"$8,888"
292,NcSlasher,6,5,2,0,"$8,874"
293,bang,5,3,0,0,"$8,870"
293,Moh,8,6,2,0,"$8,870"
295,OuTLaW,9,1,2,0,"$8,853"
296,Skadoodle,4,3,0,0,"$8,850"
297,Clawdia,2,4,2,0,"$8,800"
298,DeNaro,3,1,0,0,"$8,732"
299,Eugene,0,3,1,0,"$8,731"
300,bramz,13,1,2,0,"$8,674"
301,jfoeN,13,4,4,0,"$8,672"
302,retrQ,14,10,1,0,"$8,669"
303,Fr4nky,8,5,2,0,"$8,663"
304,frostmind,5,3,1,0,"$8,625"
305,JinNy,12,8,5,0,"$8,598"
306,Depyro,7,5,3,0,"$8,591"
306,Eeyore,6,6,1,0,"$8,591"
306,Milk,8,0,2,0,"$8,591"
309,t3xture,0,1,1,0,"$8,571"
310,Alejo,13,5,2,0,"$8,534"
310,sickLy,13,6,2,0,"$8,534"
312,iNTRO,0,2,1,0,"$8,472"
313,Texta,7,5,0,0,"$8,440"
313,tucks,7,5,0,0,"$8,440"
315,RockeT,3,9,4,0,"$8,422"
316,BraveAF,1,4,1,0,"$8,414"
317,light,2,1,0,0,"$8,388"
318,Kehmicals,4,3,2,0,"$8,361"
319,pleets,5,2,1,0,"$8,354"
320,gob b,21,5,2,0,"$8,337"
321,vakk,7,3,2,0,"$8,317"
322,Shniider,7,5,1,0,"$8,249"
323,Dobsha,5,5,2,0,"$8,150"
324,THEE,7,3,4,0,"$8,132"
325,Acetics,13,8,6,0,"$8,124"
326,RUBINO,0,1,0,0,"$8,122"
327,Gray,10,4,1,0,"$8,114"
328,vice,3,5,4,0,"$8,105"
329,TiGG,3,4,3,0,"$8,100"
330,psy,7,11,7,0,"$8,061"
331,ban,5,7,3,0,"$8,057"
332,c4Lypso,7,5,0,0,"$8,037"
333,Rawfiul,5,7,5,0,"$8,008"
334,Caz,4,7,2,0,"$8,003"
335,BEAST,5,8,3,0,"$7,968"
336,Sand,7,3,2,0,"$7,967"
337,Russ,3,4,0,0,"$7,955"
338,ntk,2,3,0,0,"$7,937"
339,minse,11,6,2,0,"$7,934"
340,xander,4,8,4,0,"$7,932"
341,NaturE,0,3,1,0,"$7,930"
342,7ssk7,7,6,2,0,"$7,919"
343,Bunny,1,1,0,0,"$7,914"
344,SkaNoodles,7,2,1,0,"$7,867"
345,fiveK,2,1,2,0,"$7,843"
346,disk0,7,4,1,0,"$7,808"
347,naxy,16,7,1,0,"$7,802"
348,Rexy,4,12,5,0,"$7,798"
349,drn,16,4,1,0,"$7,792"
350,nat1,16,2,1,0,"$7,782"
351,bstrdd,15,4,1,0,"$7,755"
352,Paincakes,15,2,1,0,"$7,745"
353,daiki,15,2,1,0,"$7,711"
354,RvK,4,7,4,0,"$7,692"
355,hikkA,6,8,8,0,"$7,659"
356,sonder,8,2,3,0,"$7,650"
357,GodDead,0,2,0,0,"$7,642"
358,liazzi,1,2,0,0,"$7,617"
359,phaze,6,4,1,0,"$7,544"
360,blackhawk,6,11,5,0,"$7,523"
361,Whimp,5,10,6,0,"$7,485"
362,AslaN,23,4,1,0,"$7,457"
363,autumn,7,3,1,0,"$7,448"
364,Kanpeki,9,1,2,0,"$7,435"
365,Astell,2,2,1,0,"$7,428"
366,Akashi,3,2,3,0,"$7,389"
367,Zander,4,4,3,0,"$7,380"
368,Rheat,9,3,0,0,"$7,361"
369,Clarenz,4,7,3,0,"$7,332"
370,randyySavage,14,9,1,0,"$7,329"
371,RAINMAKER,11,4,2,0,"$7,308"
372,dinkzj,8,8,2,0,"$7,299"
373,shooterR,7,0,2,0,"$7,298"
374,Meiy,3,2,1,0,"$7,293"
375,Moe40,7,3,1,0,"$7,274"
376,k1Ng,6,0,2,0,"$7,269"
377,Lok1,3,2,4,0,"$7,255"
378,soulM8,5,0,2,0,"$7,253"
379,trexx,3,4,0,0,"$7,251"
380,AZK,4,3,0,0,"$7,250"
380,showliana,3,2,2,0,"$7,250"
382,AztKk,3,6,5,0,"$7,244"
383,Cla,6,3,2,0,"$7,236"
383,Ninou,6,3,2,0,"$7,236"
383,LiriLia,6,3,2,0,"$7,236"
386,naTz,4,3,2,0,"$7,228"
387,hvoya,7,4,3,0,"$7,227"
388,v1nNy,10,1,2,0,"$7,185"
389,BabyJ,1,6,0,0,"$7,180"
390,rain,3,2,2,0,"$7,160"
390,EMUHLEET,3,2,2,0,"$7,160"
390,Theia,3,2,2,0,"$7,160"
393,Sliicyy,6,3,2,0,"$7,158"
394,HsB,4,0,3,0,"$7,156"
395,iFly,5,8,4,0,"$7,151"
396,Gucc107,12,3,2,0,"$7,150"
397,cath,3,8,1,0,"$7,130"
398,Pooh1Tap,7,1,1,0,"$7,110"
399,Kishi,3,2,3,0,"$7,074"
400,poiz,1,3,1,0,"$7,060"
401,kAdavra,2,0,1,0,"$7,059"
402,Danielesflo,6,8,2,0,"$7,050"
403,Puleule,13,3,4,0,"$7,025"
404,koosta,0,0,1,0,"$7,000"
405,zAAz,2,1,1,0,"$6,991"
405,mimi,2,1,1,0,"$6,991"
405,juliano,2,1,1,0,"$6,991"
405,Petra,2,1,1,0,"$6,991"
409,hype,3,2,1,0,"$6,986"
410,RyZzi,3,1,0,0,"$6,980"
411,alvar,8,0,1,0,"$6,960"
412,rise,2,4,3,0,"$6,950"
413,Daicute,3,1,2,0,"$6,918"
414,aspas,3,1,0,0,"$6,916"
415,Dcop,14,4,1,0,"$6,915"
416,Boo,9,3,0,0,"$6,883"
417,SpY,7,0,1,0,"$6,800"
418,adrnking,8,4,1,0,"$6,780"
419,Jeong Hi,4,2,1,0,"$6,769"
419,Closer,5,3,1,0,"$6,769"
421,Aleko,5,4,1,0,"$6,740"
422,XXiF,6,9,0,0,"$6,680"
423,glovee,0,2,0,0,"$6,666"
424,Governor,8,9,2,0,"$6,664"
425,Lee,8,7,2,0,"$6,656"
426,Dazlly,5,7,4,0,"$6,645"
427,tsack,4,3,1,0,"$6,555"
428,POACH,5,3,1,0,"$6,535"
429,Relyks,3,4,3,0,"$6,510"
430,Bgg,9,7,0,0,"$6,467"
431,Obnoks,18,2,1,0,"$6,457"
432,tayhuhu,10,12,2,0,"$6,431"
433,Zik,10,5,3,0,"$6,409"
434,Muj,1,0,1,0,"$6,400"
435,shiba,2,4,2,0,"$6,396"
436,Bob,8,8,0,0,"$6,355"
437,arch,6,6,4,0,"$6,348"
438,spellfull,7,6,0,0,"$6,330"
439,Nelo,6,3,1,0,"$6,322"
440,Sylvan,1,2,0,0,"$6,312"
441,mw1,4,2,0,0,"$6,270"
442,cactuzio,11,2,0,0,"$6,236"
443,zyad,7,4,5,0,"$6,226"
444,Glance,4,3,1,0,"$6,221"
445,Shizue,8,12,2,0,"$6,213"
445,shyz,8,12,2,0,"$6,213"
447,Lmemore,3,2,6,0,"$6,208"
448,Stefanie,3,1,2,0,"$6,200"
449,iDex,6,7,0,0,"$6,174"
450,Redneval,8,1,1,0,"$6,167"
451,kon4n,2,4,0,0,"$6,157"
451,matheuzin,2,4,0,0,"$6,157"
453,Winsum,15,8,1,0,"$6,110"
454,Crunchy,7,7,1,0,"$6,107"
455,LaAw,10,6,3,0,"$6,097"
456,Sh0ckwave,5,6,2,0,"$6,091"
457,JinboongE,1,0,1,0,"$6,080"
458,skuba,1,5,0,0,"$6,060"
459,Ambi,4,3,3,0,"$6,059"
460,dizzyLife,7,7,0,0,"$6,050"
461,ZesBeeW,4,6,1,0,"$6,043"
462,JESMUND,5,5,1,0,"$6,038"
463,lenne,4,3,3,0,"$6,037"
464,AntiBiotique,10,2,0,0,"$6,036"
465,xenon,8,3,2,0,"$6,008"
466,sharyk,7,3,2,0,"$5,978"
466,Winteryrook,7,3,2,0,"$5,978"
468,crazyd33R,9,3,2,0,"$5,952"
469,IyeN,7,7,0,0,"$5,950"
470,CP2,14,8,1,0,"$5,880"
471,azys,2,1,2,0,"$5,874"
472,Brando,12,6,2,0,"$5,865"
473,klaudia,3,6,1,0,"$5,823"
473,Smurfette,3,6,1,0,"$5,823"
475,W1nner,2,6,0,0,"$5,800"
476,Twisten,10,3,1,0,"$5,792"
477,Surf,2,1,0,0,"$5,777"
478,ceNder,4,2,2,0,"$5,775"
479,Neon,12,4,1,0,"$5,770"
480,isaa,8,10,2,0,"$5,732"
481,jcrueL,5,7,0,0,"$5,730"
482,roxi,3,6,1,0,"$5,723"
483,mle,4,9,0,0,"$5,700"
484,Deryeon,2,3,3,0,"$5,698"
485,Dep,3,4,3,0,"$5,694"
486,pl1xx,10,7,0,0,"$5,690"
487,Bjor,7,5,2,0,"$5,685"
488,athxna,3,8,1,0,"$5,650"
489,Frosty,5,7,1,0,"$5,648"
490,JdFaker,3,8,1,0,"$5,606"
491,mada,2,1,0,0,"$5,600"
492,Hate,4,3,0,0,"$5,592"
493,Jerk,9,10,4,0,"$5,585"
494,Shin,3,4,1,0,"$5,578"
494,Goaster,3,4,1,0,"$5,578"
496,Kim,3,4,1,0,"$5,555"
497,Less,3,1,1,0,"$5,543"
498,Senhoachic,7,2,5,0,"$5,537"
499,chase,19,10,2,0,"$5,531"
500,Harmful,6,4,2,0,"$5,530"